district,year,rainfall_mm,temp_avg_c
Villupuram,2004,1023.7,30.26
Villupuram,2005,817.9,29.97
Villupuram,2006,899.2,29.41
Villupuram,2007,500.3,30.07
Villupuram,2008,900.1,29.17
Villupuram,2009,823.9,29.26
Villupuram,2010,730.2,29.84
Villupuram,2011,909.5,30.47
Villupuram,2012,1265.4,29.73
Villupuram,2013,1101.3,29.73
Villupuram,2014,866.9,29.14
Villupuram,2015,830.8,30.08
Villupuram,2016,1009.6,29.53
Villupuram,2017,915.4,29.28
Villupuram,2018,1059.0,29.31
Villupuram,2019,947.5,29.71
Villupuram,2020,744.8,30.09
Villupuram,2021,515.5,29.37
Villupuram,2022,859.2,29.84
Villupuram,2023,736.2,30.32
Virudhunagar,2003,732.0,30.32
Virudhunagar,2004,740.0,30.41
Virudhunagar,2005,883.6,30.01
Virudhunagar,2006,616.5,29.49
Virudhunagar,2007,867.0,30.34
Virudhunagar,2008,676.5,30.14
Virudhunagar,2009,523.7,29.69
Virudhunagar,2010,459.3,30.01
Virudhunagar,2011,786.7,30.21
Virudhunagar,2012,686.5,30.0
Virudhunagar,2013,871.7,29.86
Virudhunagar,2014,548.3,29.01
Virudhunagar,2015,697.0,29.78
Virudhunagar,2016,662.1,29.53
Virudhunagar,2017,699.2,29.95
Virudhunagar,2018,738.0,29.65
Virudhunagar,2019,480.9,30.58
Virudhunagar,2020,829.5,29.57
Virudhunagar,2021,786.8,29.88
Virudhunagar,2022,362.4,29.53
Virudhunagar,2023,833.4,30.17
